,center,focus,best_FDC,size,depth
14484,Rebecca Smart,Derren Brown,-3.4143892045595323,13,3
14485,Sandra Schonwald,Salim Dau,-4.150148086902417,11,2
14486,Siyabonga Melongisi Shibe,Salim Dau,-4.150148086902417,11,2
14487,Andrea-Rachel Parker,Joshua Rivera,-2.1538816655790947,31,3
14488,Bilal Ndongo,Joshua Rivera,-2.1538816655790947,31,3
14489,Erinn Westbrook,Joshua Rivera,-2.1538816655790947,31,3
14490,Keita Abe,Mischa Barton,47.75872983247504,583,5
14491,Miki Sasaki,Mischa Barton,47.75872983247504,583,5
14492,Nobuhisa Ikeda,Mischa Barton,47.75872983247504,583,5
14493,George Owusu-Afriyie,Bill Hayes,-1.3834527861158346,6,2
14494,Amy Ganser,Jessie Camacho,-2.036016297714193,31,3
14495,Chris Chatman,Jessie Camacho,-2.036016297714193,31,3
14496,Krystle Connor,Jessie Camacho,-2.036016297714193,31,3
14497,Robert Acinapura,Jessie Camacho,-2.036016297714193,31,3
14498,Micah Bradshaw,John Busse,-4.150148086902417,11,2
14499,Nikki Fomosa,John Busse,-4.150148086902417,11,2
14500,Brandon Polansky,Jessica Walter,0.08806497856993488,10,2
14501,Samantha Elisofon,Jessica Walter,0.08806497856993488,10,2
14502,Jenna D'Angelo,Joslyn Jensen,-1.1428088149411315,21,3
14503,William Connell,Kentucker Audley,22.70817895500575,195,5
14504,Keith Allison,Micky Dolenz,2.295341625598589,16,2
14505,Michael Nesmith,Micky Dolenz,2.295341625598589,16,2
14506,Peter Tork,Micky Dolenz,2.295341625598589,16,2
14507,Lionel Fogarty,Kathleen Cleaver,1.9274621844271465,15,2
14508,Marlene Cummins,Kathleen Cleaver,1.9274621844271465,15,2
14509,Zainab Abbas,Kathleen Cleaver,1.9274621844271465,15,2
14510,Ausavapat Ausavaterakul,Nappon Gomarachun,2.6632210667700313,17,2
14511,Beam Papangkorn,Nappon Gomarachun,2.6632210667700313,17,2
14512,Kitwiriya Natcharee,Nappon Gomarachun,2.6632210667700313,17,2
14513,Luangsodsai Anupart,Nappon Gomarachun,2.6632210667700313,17,2
14514,Kordian Rekowski,Ewa Ziętek,-1.0972187241984734,25,3
14515,Mike Lipiński,Ewa Ziętek,-1.0972187241984734,25,3
14516,Rafał Iwaniuk,Ewa Ziętek,-1.0972187241984734,25,3
14517,Mawra Hocane,Harshvardhan Rane,-0.27981446260150744,9,2
14518,Andreea Bosneag,Alexandru Georgescu,-0.27981446260150744,9,2
14519,Doru Catanescu,Alexandru Georgescu,-0.27981446260150744,9,2
14520,Elodie Bouleau,Flore Bonaventura,2.295341625598589,16,2
14521,Omar Salim,Flore Bonaventura,2.295341625598589,16,2
14522,Rafael Cherkaski,Flore Bonaventura,2.295341625598589,16,2
14523,Simon-Pierre Boireau,Flore Bonaventura,2.295341625598589,16,2
14524,Alfonso Arranz Lago,Ángela Molina,16.86529031129172,135,4
14525,Julia Quintana,Ángela Molina,16.86529031129172,135,4
