,center,focus,best_FDC,size,depth
14794,Víctor Hugo Cabrera,Paola Baldion,-1.6403409819263857,33,3
14795,Pixinguinha,Othon Bastos,14.399705908703117,68,4
14796,Thomaz Farkas,Walter Lima Jr.,-4.9225382470227705,7,2
14797,Adriana Cataño,Rosa Isela Frausto,-1.0155733449443922,7,2
14798,Eduardo Ibarrola,Rosa Isela Frausto,-1.0155733449443922,7,2
14799,Karla Garcia,Rosa Isela Frausto,-1.0155733449443922,7,2
14800,Keith Baldwin,Zac Gordon,-4.453476965875939,16,5
14801,Kelly McDade,Zac Gordon,-4.453476965875939,16,5
14802,Marcio Minervino,Ricardo Pretti,-2.3473821588226738,14,2
14803,Micheli Santini,Ricardo Pretti,-2.3473821588226738,14,2
14804,Rodrigo Fischer,Ricardo Pretti,-2.3473821588226738,14,2
